PKEY,TOKEN,0_,1_,2_,3_,4_,5_,6_,7_,8_
3919,well,0.70,0.71,0.58,0.88,0.47,0.90,0.88,0.88,0.67
3936,wave,0.07,0.07,0.27,0.02,0.08,0.02,0.09,0.09,0.04
3947,wan,0.15,0.25,0.04,0.07,0.28,0.14,0.12,0.50,0.17
3949,want,0.27,0.13,0.29,0.02,0.25,0.43,0.28,0.06,0.17
3984,weight,0.12,0.04,0.03,0.12,0.06,0.02,0.33,0.06,0.08
4023,year,0.34,0.28,0.09,0.71,0.14,0.29,0.60,0.26,0.29
4030,yet,0.41,0.47,0.34,0.74,0.47,0.57,0.40,0.68,0.40
4049,xml,0.09,0.08,0.03,0.03,0.03,0.05,0.07,0.53,0.08
4065,zip,0.08,0.02,0.13,0.09,0.03,0.10,0.05,0.03,0.04
4115,word,0.25,0.28,0.12,0.09,0.17,0.33,0.19,0.12,0.18
4116,work,0.44,0.36,0.26,0.09,0.47,0.43,0.47,0.56,0.25
4135,wish,0.28,0.24,0.42,0.16,0.11,0.48,0.21,0.56,0.29
4140,within,0.88,0.77,0.75,0.45,0.81,0.76,0.58,0.91,0.73
4143,without,0.79,0.87,0.79,0.90,0.78,0.81,0.51,0.47,0.69
4153,workstat,0.12,0.19,0.01,0.62,0.06,0.12,0.12,0.03,0.10
4158,write,0.17,0.12,0.17,0.41,0.14,0.26,0.09,0.09,0.12
4161,written,0.15,0.16,0.12,0.03,0.06,0.17,0.19,0.47,0.13
4165,world,0.30,0.35,0.10,0.03,0.14,0.17,0.26,0.06,0.12
4181,worldwid,0.06,0.08,0.09,0.02,0.06,0.07,0.02,0.59,0.03
4190,would,0.63,0.65,0.51,0.83,0.53,0.48,0.56,0.71,0.61
4217,valid,0.35,0.66,0.44,0.67,0.72,0.26,0.19,0.24,0.20
4221,valu,0.54,0.71,0.53,0.88,0.69,0.38,0.86,0.65,0.70
4231,util,0.57,0.66,0.62,0.88,0.64,0.71,0.72,0.44,0.61
4267,vehicl,0.25,0.07,0.14,0.64,0.03,0.19,0.33,0.38,0.19
4285,vari,0.29,0.29,0.10,0.26,0.17,0.26,0.44,0.15,0.21
4286,variabl,0.11,0.11,0.05,0.10,0.19,0.02,0.42,0.21,0.17
4290,variat,0.18,0.13,0.22,0.12,0.17,0.19,0.30,0.12,0.17
4292,varieti,0.46,0.54,0.39,0.72,0.31,0.33,0.51,0.76,0.47
4293,variou,0.85,0.82,0.82,0.98,0.78,0.71,0.88,0.91,0.81
4296,usual,0.26,0.33,0.21,0.09,0.14,0.19,0.26,0.56,0.23
4304,upload,0.11,0.05,0.06,0.02,0.11,0.05,0.09,0.09,0.03
4305,upon,0.71,0.66,0.74,0.74,0.64,0.76,0.63,0.76,0.67
4318,updat,0.43,0.35,0.49,0.26,0.47,0.21,0.35,0.62,0.35
4345,user,0.91,0.89,0.92,0.90,0.97,0.90,0.77,0.97,0.67
4350,use,1.00,1.00,1.00,0.98,1.00,1.00,0.98,1.00,0.98
4378,usabl,0.13,0.16,0.17,0.09,0.11,0.05,0.09,0.03,0.08
4379,usag,0.25,0.23,0.12,0.09,0.11,0.10,0.12,0.68,0.10
4391,wallet,0.12,0.34,0.64,0.64,0.50,0.26,0.05,0.06,0.18
4406,voic,0.22,0.33,0.39,0.07,0.03,0.21,0.07,0.71,0.12
4415,volatil,0.08,0.07,0.05,0.02,0.36,0.05,0.26,0.15,0.11
4417,visa,0.05,0.41,0.32,0.03,0.06,0.10,0.02,0.53,0.18
4431,visual,0.24,0.11,0.14,0.09,0.03,0.10,0.12,0.09,0.10
4467,volum,0.13,0.08,0.05,0.66,0.03,0.26,0.09,0.06,0.15
4497,version,0.24,0.29,0.13,0.03,0.11,0.02,0.14,0.41,0.10
4510,verifi,0.36,0.71,0.56,0.03,0.58,0.50,0.09,0.62,0.27
4515,vendor,0.23,0.18,0.23,0.02,0.03,0.17,0.09,0.29,0.13
4523,verif,0.25,0.61,0.32,0.72,0.44,0.45,0.09,0.56,0.20
4534,via,0.78,0.83,0.92,0.33,0.78,0.88,0.60,0.94,0.75
4555,virtual,0.34,0.47,0.43,0.12,0.56,0.38,0.09,0.12,0.31
4570,video,0.33,0.13,0.18,0.05,0.14,0.26,0.09,0.18,0.12
4578,view,0.55,0.42,0.40,0.69,0.39,0.64,0.74,0.15,0.36
4583,significantli,0.13,0.08,0.08,0.03,0.11,0.17,0.16,0.12,0.13
4603,similar,0.56,0.52,0.62,0.84,0.50,0.71,0.51,0.71,0.59
4604,signatur,0.12,0.47,0.17,0.07,0.50,0.02,0.02,0.09,0.08
4605,signal,0.38,0.43,0.39,0.07,0.28,0.14,0.09,0.91,0.27
4606,simpl,0.29,0.20,0.16,0.67,0.17,0.17,0.16,0.12,0.10
4607,side,0.22,0.17,0.04,0.05,0.14,0.12,0.14,0.12,0.11
4627,sign,0.21,0.30,0.23,0.02,0.50,0.29,0.09,0.06,0.12
4628,similarli,0.31,0.37,0.26,0.50,0.33,0.48,0.33,0.59,0.33
4631,situat,0.28,0.25,0.21,0.10,0.03,0.40,0.40,0.68,0.23
4649,size,0.34,0.25,0.08,0.67,0.06,0.19,0.19,0.12,0.17
4653,singular,0.05,0.07,0.06,0.05,0.22,0.12,0.05,0.06,0.05
4655,simultan,0.11,0.14,0.12,0.02,0.22,0.10,0.09,0.56,0.13
4657,simpli,0.30,0.28,0.27,0.66,0.19,0.50,0.30,0.15,0.17
4658,simplic,0.05,0.06,0.03,0.02,0.03,0.02,0.19,0.03,0.02
4660,simplifi,0.15,0.14,0.21,0.36,0.25,0.17,0.21,0.06,0.19
4667,sinc,0.40,0.40,0.26,0.69,0.22,0.29,0.33,0.65,0.29
4674,singl,0.63,0.63,0.36,0.84,0.42,0.40,0.60,0.68,0.65
4684,share,0.44,0.30,0.25,0.71,0.56,0.55,0.23,0.59,0.31
4701,shall,0.09,0.11,0.06,0.62,0.14,0.12,0.14,0.06,0.08
4706,setup,0.09,0.01,0.03,0.02,0.17,0.02,0.02,0.09,0.02
4712,sever,0.46,0.46,0.31,0.12,0.14,0.45,0.44,0.24,0.38
4737,show,0.39,0.27,0.39,0.78,0.19,0.26,0.58,0.32,0.36
4741,shown,0.62,0.64,0.68,0.86,0.36,0.86,0.63,0.71,0.69
4752,shift,0.04,0.05,0.04,0.02,0.08,0.02,0.21,0.03,0.07
4771,short,0.20,0.19,0.44,0.03,0.25,0.14,0.21,0.09,0.19
4778,softwar,0.65,0.77,0.74,0.81,0.61,0.60,0.74,0.85,0.51
4784,sold,0.18,0.05,0.04,0.14,0.08,0.10,0.05,0.06,0.18
4785,sole,0.11,0.16,0.13,0.43,0.17,0.07,0.16,0.03,0.12
4812,social,0.27,0.23,0.13,0.16,0.22,0.26,0.44,0.09,0.19
4820,solut,0.25,0.36,0.12,0.62,0.36,0.33,0.23,0.18,0.17
4822,skill,0.46,0.54,0.44,0.79,0.17,0.36,0.56,0.29,0.52
4825,sourc,0.53,0.40,0.39,0.88,0.42,0.38,0.60,0.85,0.42
4840,space,0.20,0.12,0.16,0.07,0.14,0.02,0.09,0.29,0.08
4854,sometim,0.21,0.16,0.13,0.72,0.11,0.31,0.14,0.03,0.17
4916,small,0.31,0.23,0.21,0.69,0.14,0.43,0.35,0.09,0.21
4945,smart,0.35,0.59,0.55,0.05,0.47,0.36,0.12,0.53,0.24
4955,smartphon,0.13,0.17,0.21,0.02,0.14,0.12,0.02,0.15,0.10
4982,satellit,0.19,0.16,0.09,0.03,0.06,0.10,0.05,0.65,0.13
4986,satisfi,0.15,0.24,0.18,0.17,0.31,0.29,0.19,0.29,0.23
4993,sale,0.41,0.57,0.77,0.28,0.33,0.43,0.26,0.62,0.52
5020,scenario,0.16,0.11,0.16,0.03,0.03,0.12,0.33,0.12,0.14
5026,schedul,0.16,0.04,0.13,0.03,0.11,0.14,0.26,0.09,0.18
5028,schemat,0.12,0.10,0.04,0.07,0.03,0.10,0.05,0.03,0.07
5029,scheme,0.18,0.22,0.08,0.12,0.22,0.10,0.12,0.09,0.11
5041,save,0.23,0.23,0.32,0.74,0.22,0.40,0.84,0.56,0.38
5049,scanner,0.14,0.22,0.23,0.02,0.08,0.05,0.05,0.12,0.12
5054,scan,0.24,0.25,0.31,0.03,0.17,0.05,0.05,0.50,0.11
5100,rout,0.20,0.39,0.27,0.07,0.22,0.40,0.07,0.26,0.26
5127,said,0.37,0.51,0.18,0.29,0.33,0.40,0.37,0.53,0.33
5144,rule,0.25,0.24,0.10,0.29,0.42,0.17,0.30,0.26,0.33
5146,run,0.43,0.35,0.40,0.17,0.31,0.24,0.47,0.76,0.36
5171,send,0.52,0.70,0.78,0.17,0.67,0.81,0.19,0.76,0.54
5185,seen,0.13,0.16,0.08,0.03,0.22,0.17,0.05,0.06,0.13
5198,select,0.75,0.66,0.82,0.86,0.42,0.74,0.91,0.82,0.78
5202,sensit,0.10,0.25,0.27,0.02,0.06,0.24,0.07,0.18,0.07
5205,servic,0.80,0.87,0.97,0.95,0.69,0.98,0.79,0.76,0.79
5210,serv,0.28,0.30,0.38,0.09,0.33,0.40,0.26,0.12,0.28
5212,server,0.65,0.67,0.82,0.81,0.69,0.69,0.49,0.91,0.56
5223,session,0.15,0.16,0.17,0.03,0.14,0.17,0.05,0.12,0.06
5224,set,0.79,0.84,0.71,0.64,0.89,0.74,0.84,0.68,0.79
5227,serial,0.13,0.17,0.22,0.07,0.25,0.02,0.05,0.50,0.07
5228,sent,0.41,0.49,0.61,0.21,0.39,0.55,0.09,0.62,0.33
5238,separ,0.58,0.67,0.53,0.17,0.36,0.40,0.47,0.68,0.50
5240,seri,0.23,0.24,0.14,0.71,0.22,0.05,0.49,0.03,0.19
5246,sequenc,0.24,0.23,0.13,0.03,0.06,0.05,0.09,0.26,0.11
5249,ser,0.10,0.14,0.19,0.07,0.08,0.14,0.14,0.03,0.16
5250,seek,0.15,0.12,0.09,0.05,0.11,0.10,0.26,0.62,0.16
5261,screen,0.40,0.24,0.40,0.10,0.17,0.26,0.37,0.85,0.27
5275,score,0.09,0.06,0.01,0.90,0.14,0.19,0.42,0.18,0.10
5297,scope,0.41,0.52,0.36,0.78,0.33,0.26,0.35,0.50,0.41
5307,second,0.74,0.72,0.61,0.90,0.86,0.64,0.63,0.79,0.66
5308,secondari,0.09,0.13,0.12,0.03,0.08,0.02,0.19,0.26,0.10
5318,secur,0.61,0.96,0.88,0.84,0.94,0.79,0.81,0.82,0.66
5344,search,0.27,0.10,0.09,0.12,0.17,0.31,0.26,0.06,0.16
5367,switch,0.24,0.16,0.23,0.07,0.25,0.24,0.12,0.26,0.17
5408,system,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.00,0.97
5446,summari,0.82,0.90,0.81,0.91,0.81,0.79,0.86,0.97,0.81
5455,sum,0.11,0.07,0.08,0.71,0.03,0.10,0.19,0.21,0.21
5472,success,0.32,0.42,0.31,0.60,0.44,0.19,0.28,0.59,0.17
5480,suffer,0.10,0.07,0.05,0.03,0.08,0.05,0.14,0.03,0.06
5482,suffici,0.28,0.37,0.38,0.67,0.19,0.31,0.37,0.62,0.33
5484,suggest,0.15,0.12,0.01,0.02,0.03,0.10,0.42,0.06,0.09
5486,suit,0.11,0.06,0.06,0.02,0.06,0.05,0.07,0.03,0.06
5488,suitabl,0.40,0.48,0.55,0.24,0.33,0.26,0.44,0.74,0.38
5513,sure,0.04,0.05,0.04,0.02,0.03,0.10,0.07,0.03,0.02
5529,suppli,0.30,0.29,0.16,0.09,0.22,0.26,0.16,0.12,0.20
5532,support,0.47,0.47,0.42,0.40,0.36,0.43,0.28,0.12,0.42
5542,telephon,0.36,0.52,0.49,0.19,0.33,0.76,0.16,0.65,0.42
5562,temporarili,0.05,0.10,0.05,0.02,0.03,0.05,0.02,0.03,0.06
5599,text,0.34,0.23,0.38,0.09,0.17,0.67,0.26,0.59,0.19
5601,textual,0.04,0.01,0.03,0.03,0.06,0.07,0.05,0.03,0.03
5612,ten,0.07,0.07,0.03,0.02,0.06,0.05,0.14,0.03,0.10
5614,tend,0.10,0.05,0.04,0.71,0.03,0.14,0.28,0.03,0.09
5626,term,0.57,0.59,0.44,0.84,0.58,0.62,0.74,0.82,0.67
5627,termin,0.35,0.61,0.74,0.19,0.19,0.10,0.14,0.15,0.46
5633,technolog,0.58,0.59,0.56,0.78,0.53,0.31,0.12,0.88,0.27
5637,taken,0.30,0.20,0.17,0.07,0.31,0.24,0.19,0.24,0.23
5646,take,0.56,0.63,0.57,0.34,0.58,0.64,0.77,0.24,0.59
5653,tangibl,0.10,0.07,0.05,0.36,0.08,0.07,0.14,0.15,0.14
5658,techniqu,0.40,0.45,0.25,0.86,0.22,0.14,0.40,0.79,0.30
5661,tabl,0.23,0.23,0.08,0.10,0.06,0.05,0.40,0.56,0.18
5663,tablet,0.19,0.29,0.35,0.07,0.42,0.21,0.07,0.24,0.12
5672,tag,0.19,0.10,0.17,0.02,0.11,0.07,0.05,0.62,0.08
5682,tape,0.07,0.10,0.16,0.03,0.03,0.12,0.07,0.06,0.11
5693,teach,0.09,0.11,0.03,0.02,0.06,0.02,0.12,0.12,0.09
5702,technic,0.32,0.22,0.12,0.12,0.25,0.17,0.30,0.29,0.18
5709,target,0.31,0.14,0.29,0.74,0.11,0.07,0.37,0.26,0.11
5712,task,0.25,0.14,0.08,0.05,0.17,0.10,0.28,0.06,0.15
5717,tax,0.11,0.10,0.08,0.41,0.06,0.05,0.58,0.06,0.26
5749,standalon,0.07,0.05,0.04,0.05,0.08,0.05,0.02,0.09,0.03
5775,standard,0.49,0.67,0.49,0.83,0.33,0.29,0.49,0.53,0.46
5799,statu,0.32,0.29,0.16,0.74,0.11,0.26,0.35,0.71,0.27
5809,start,0.34,0.20,0.10,0.05,0.06,0.19,0.33,0.32,0.18
5815,state,0.51,0.37,0.39,0.16,0.44,0.26,0.51,0.38,0.46
5817,statement,0.12,0.17,0.04,0.72,0.06,0.07,0.28,0.50,0.23
5819,static,0.10,0.16,0.12,0.03,0.14,0.02,0.07,0.06,0.06
5821,station,0.24,0.08,0.13,0.02,0.06,0.05,0.05,0.62,0.12
5826,spend,0.16,0.23,0.17,0.69,0.28,0.10,0.33,0.47,0.16
5830,speed,0.22,0.20,0.13,0.07,0.22,0.05,0.02,0.41,0.10
5849,sql,0.05,0.04,0.01,0.03,0.17,0.02,0.09,0.09,0.05
5861,specifi,0.40,0.40,0.25,0.10,0.39,0.40,0.56,0.71,0.41
5867,special,0.32,0.40,0.21,0.14,0.36,0.43,0.23,0.18,0.29
5870,specif,0.90,0.81,0.87,0.97,0.78,0.74,0.86,0.71,0.82
5903,spirit,0.19,0.14,0.08,0.57,0.03,0.10,0.16,0.12,0.16
5937,subject,0.31,0.35,0.17,0.19,0.31,0.19,0.44,0.15,0.35
5944,submit,0.22,0.36,0.22,0.02,0.06,0.43,0.12,0.09,0.24
5948,structur,0.49,0.47,0.26,0.78,0.39,0.31,0.47,0.71,0.46
5976,substanti,0.24,0.25,0.22,0.10,0.11,0.21,0.33,0.21,0.29
5980,subset,0.13,0.16,0.05,0.12,0.06,0.02,0.12,0.09,0.08
6013,subsequ,0.34,0.36,0.27,0.69,0.50,0.36,0.26,0.15,0.31
6018,stock,0.17,0.05,0.03,0.16,0.11,0.14,0.53,0.03,0.25
6031,stop,0.15,0.08,0.03,0.02,0.03,0.02,0.12,0.12,0.06
6034,storag,0.59,0.78,0.58,0.33,0.69,0.45,0.44,0.38,0.51
6035,store,0.93,0.99,1.00,0.98,0.94,1.00,0.77,0.97,0.87
6043,step,0.56,0.69,0.61,0.88,0.39,0.52,0.77,0.79,0.62
6056,still,0.47,0.59,0.36,0.14,0.36,0.52,0.37,0.71,0.48
6104,stream,0.20,0.02,0.05,0.05,0.08,0.05,0.28,0.03,0.14
6113,concern,0.28,0.29,0.16,0.67,0.28,0.33,0.40,0.09,0.27
6123,concept,0.14,0.18,0.12,0.09,0.28,0.40,0.14,0.15,0.17
6127,condit,0.31,0.27,0.08,0.24,0.11,0.21,0.33,0.26,0.28
6131,conduct,0.29,0.57,0.64,0.21,0.50,0.60,0.16,0.59,0.34
6146,comput,0.93,0.95,0.97,0.95,1.00,0.93,0.91,0.94,0.88
6162,conjunct,0.26,0.40,0.35,0.67,0.06,0.26,0.33,0.62,0.32
6164,connect,0.78,0.81,0.84,0.31,0.83,0.74,0.53,0.91,0.64
6174,consequ,0.16,0.12,0.03,0.69,0.06,0.12,0.21,0.53,0.16
6179,consid,0.32,0.34,0.18,0.22,0.17,0.29,0.60,0.18,0.37
6187,confid,0.04,0.19,0.01,0.03,0.03,0.21,0.09,0.03,0.07
6188,confidenti,0.06,0.17,0.06,0.03,0.03,0.31,0.02,0.03,0.05
6189,configur,0.72,0.75,0.82,0.91,0.72,0.71,0.56,0.94,0.67
6192,confirm,0.35,0.42,0.60,0.66,0.50,0.57,0.14,0.12,0.28
6197,conform,0.04,0.06,0.01,0.03,0.03,0.02,0.12,0.06,0.08
6208,commerci,0.26,0.34,0.23,0.47,0.17,0.12,0.23,0.18,0.23
6211,command,0.18,0.25,0.17,0.03,0.11,0.10,0.05,0.06,0.11
6226,common,0.44,0.43,0.22,0.66,0.22,0.36,0.40,0.18,0.27
6227,commonli,0.21,0.31,0.17,0.64,0.14,0.14,0.21,0.12,0.17
6231,commun,0.89,0.95,0.97,0.98,0.92,0.98,0.63,1.00,0.80
6248,combin,0.73,0.73,0.79,0.91,0.72,0.74,0.77,0.91,0.72
6252,come,0.26,0.19,0.22,0.05,0.11,0.26,0.33,0.15,0.13
6264,complet,0.62,0.70,0.77,0.76,0.58,0.88,0.44,0.74,0.57
6265,complex,0.21,0.27,0.12,0.05,0.11,0.05,0.35,0.06,0.12
6268,complianc,0.10,0.10,0.03,0.02,0.08,0.02,0.07,0.12,0.08
6274,compon,0.66,0.65,0.61,0.91,0.44,0.52,0.63,0.94,0.52
6289,compact,0.10,0.05,0.22,0.03,0.06,0.17,0.14,0.09,0.08
6290,compani,0.46,0.40,0.27,0.88,0.39,0.67,0.63,0.88,0.51
6295,compar,0.46,0.39,0.25,0.81,0.36,0.38,0.51,0.71,0.27
6311,cost,0.52,0.46,0.25,0.28,0.28,0.33,0.49,0.82,0.46
6322,could,0.53,0.53,0.45,0.78,0.31,0.26,0.44,0.71,0.50
6334,core,0.10,0.05,0.16,0.03,0.06,0.05,0.26,0.15,0.05
6341,corpor,0.26,0.18,0.10,0.53,0.11,0.12,0.23,0.24,0.25
6344,correct,0.22,0.22,0.10,0.03,0.22,0.26,0.05,0.15,0.12
6346,correl,0.12,0.13,0.06,0.09,0.03,0.02,0.21,0.62,0.07
6347,correspond,0.54,0.60,0.61,0.83,0.36,0.45,0.56,0.53,0.51
6357,cover,0.21,0.11,0.10,0.05,0.19,0.24,0.26,0.09,0.26
6390,countri,0.13,0.06,0.12,0.07,0.14,0.19,0.09,0.15,0.18
6393,coupl,0.45,0.59,0.58,0.22,0.53,0.31,0.44,0.29,0.43
6395,coupon,0.19,0.10,0.30,0.12,0.06,0.17,0.05,0.09,0.11
6400,contempl,0.18,0.18,0.18,0.05,0.25,0.05,0.21,0.44,0.20
6402,contact,0.31,0.51,0.43,0.09,0.31,0.67,0.14,0.53,0.23
6407,contain,0.65,0.67,0.58,0.21,0.53,0.60,0.51,0.82,0.50
6413,content,0.44,0.27,0.27,0.17,0.39,0.19,0.19,0.12,0.21
6417,context,0.29,0.33,0.22,0.14,0.11,0.24,0.23,0.29,0.22
6422,consum,0.51,0.61,0.78,0.86,0.42,0.71,0.42,0.79,0.46
6425,consist,0.39,0.29,0.26,0.78,0.17,0.14,0.49,0.09,0.29
6434,constitut,0.07,0.11,0.01,0.02,0.06,0.14,0.09,0.03,0.07
6437,constraint,0.07,0.04,0.01,0.02,0.06,0.02,0.05,0.03,0.05
6438,constru,0.11,0.12,0.08,0.69,0.22,0.14,0.21,0.06,0.11
6439,construct,0.15,0.22,0.04,0.09,0.14,0.29,0.28,0.09,0.15
6445,continu,0.40,0.37,0.22,0.71,0.17,0.40,0.42,0.24,0.34
6450,convey,0.10,0.12,0.08,0.05,0.06,0.10,0.09,0.12,0.08
6460,coordin,0.18,0.12,0.13,0.03,0.06,0.12,0.07,0.06,0.09
6470,convert,0.20,0.19,0.06,0.09,0.64,0.14,0.35,0.06,0.21
6474,contract,0.17,0.11,0.03,0.05,0.31,0.07,0.19,0.06,0.25
6484,contribut,0.11,0.05,0.10,0.12,0.03,0.07,0.56,0.06,0.20
6487,control,0.74,0.78,0.56,0.33,0.81,0.45,0.37,0.97,0.55
6490,conveni,0.28,0.31,0.34,0.14,0.08,0.64,0.14,0.12,0.32
6491,convent,0.32,0.43,0.35,0.05,0.25,0.52,0.37,0.68,0.35
6504,check,0.43,0.57,0.45,0.81,0.33,0.79,0.33,0.32,0.45
6524,charact,0.14,0.30,0.18,0.62,0.11,0.14,0.07,0.03,0.12
6526,characterist,0.25,0.23,0.17,0.24,0.08,0.14,0.35,0.59,0.22
6529,charg,0.34,0.48,0.40,0.72,0.28,0.43,0.28,0.76,0.44
6539,chart,0.09,0.18,0.05,0.03,0.14,0.10,0.30,0.50,0.09
6580,child,0.05,0.01,0.04,0.02,0.06,0.05,0.14,0.06,0.03
6597,center,0.24,0.28,0.17,0.07,0.22,0.05,0.19,0.41,0.20
6604,central,0.40,0.27,0.13,0.17,0.44,0.31,0.12,0.18,0.25
6614,channel,0.28,0.30,0.40,0.74,0.08,0.19,0.23,0.09,0.21
6635,cell,0.22,0.24,0.35,0.09,0.17,0.29,0.05,0.71,0.16
6639,challeng,0.15,0.16,0.08,0.02,0.06,0.05,0.16,0.09,0.08
6654,chang,0.62,0.60,0.44,0.86,0.56,0.33,0.70,0.85,0.50
6668,certain,0.64,0.53,0.40,0.84,0.53,0.48,0.79,0.85,0.62
6672,certif,0.09,0.24,0.06,0.02,0.08,0.07,0.09,0.21,0.11
6714,close,0.27,0.25,0.36,0.12,0.11,0.17,0.23,0.12,0.26
6731,code,0.67,0.88,0.88,0.86,0.75,0.57,0.49,0.76,0.57
6754,collect,0.58,0.46,0.40,0.86,0.47,0.43,0.51,0.88,0.42
6783,circuitri,0.10,0.19,0.25,0.05,0.17,0.07,0.02,0.68,0.05
6789,circumst,0.10,0.16,0.16,0.07,0.03,0.07,0.16,0.03,0.14
6800,citi,0.09,0.06,0.14,0.12,0.03,0.02,0.02,0.09,0.04
6803,circuit,0.20,0.41,0.34,0.09,0.22,0.05,0.09,0.50,0.14
6830,click,0.10,0.10,0.14,0.02,0.06,0.19,0.16,0.06,0.10
6832,clear,0.15,0.24,0.21,0.12,0.17,0.48,0.19,0.03,0.29
6846,client,0.37,0.22,0.27,0.16,0.31,0.29,0.37,0.03,0.26
6858,claim,0.93,0.93,0.95,0.95,0.86,1.00,0.93,0.94,0.96
6867,class,0.13,0.08,0.03,0.03,0.08,0.05,0.42,0.29,0.12
6870,classifi,0.05,0.01,0.01,0.07,0.03,0.05,0.07,0.09,0.05
6875,cpu,0.07,0.07,0.03,0.02,0.06,0.02,0.02,0.06,0.06
6878,devic,0.90,0.99,1.00,0.97,0.97,0.93,0.56,1.00,0.78
6894,diagram,0.34,0.40,0.45,0.79,0.31,0.55,0.28,0.29,0.38
6905,determin,0.81,0.87,0.73,0.95,0.78,0.76,0.91,1.00,0.84
6912,develop,0.46,0.39,0.35,0.86,0.33,0.33,0.47,0.29,0.36
6926,difficult,0.27,0.41,0.16,0.69,0.22,0.17,0.30,0.03,0.19
6938,digit,0.58,0.86,0.77,0.19,0.89,0.57,0.26,0.76,0.47
6947,differ,0.85,0.82,0.73,0.86,0.83,0.76,0.91,0.82,0.85
6973,depend,0.44,0.37,0.30,0.81,0.28,0.62,0.51,0.26,0.46
6981,depart,0.28,0.23,0.13,0.64,0.17,0.14,0.35,0.18,0.24
6983,depict,0.22,0.28,0.12,0.66,0.08,0.31,0.21,0.44,0.24
6987,deposit,0.13,0.24,0.22,0.05,0.39,0.71,0.30,0.03,0.39
6998,deliveri,0.28,0.19,0.12,0.10,0.08,0.24,0.12,0.03,0.20
7005,demand,0.18,0.18,0.16,0.02,0.17,0.52,0.12,0.03,0.20
7014,demograph,0.12,0.04,0.01,0.72,0.03,0.02,0.21,0.53,0.05
7023,desktop,0.14,0.18,0.27,0.05,0.31,0.19,0.19,0.06,0.12
7026,despit,0.06,0.17,0.05,0.05,0.03,0.02,0.12,0.12,0.04
7038,detail,0.93,0.93,0.96,0.97,0.83,0.98,0.91,0.97,0.92
7041,detect,0.36,0.52,0.30,0.22,0.36,0.17,0.05,0.74,0.20
7042,desir,0.58,0.63,0.55,0.81,0.42,0.67,0.74,0.85,0.58
7043,design,0.57,0.54,0.27,0.22,0.50,0.55,0.58,0.29,0.49
7050,deriv,0.27,0.25,0.17,0.78,0.39,0.14,0.49,0.03,0.20
7056,describ,0.87,0.94,0.90,0.97,0.92,1.00,0.88,0.97,0.91
7058,descript,0.95,0.95,0.96,0.98,0.78,1.00,0.93,0.94,0.95
7073,distinct,0.18,0.13,0.08,0.03,0.14,0.12,0.09,0.12,0.08
7075,distinguish,0.09,0.08,0.05,0.07,0.03,0.02,0.16,0.59,0.05
7080,distribut,0.55,0.40,0.19,0.84,0.75,0.43,0.60,0.62,0.37
7095,display,0.72,0.53,0.69,0.55,0.50,0.69,0.63,0.41,0.49
7120,document,0.31,0.25,0.10,0.16,0.25,0.21,0.23,0.12,0.25
7132,domain,0.12,0.06,0.03,0.05,0.06,0.02,0.07,0.06,0.03
7144,divid,0.14,0.05,0.01,0.60,0.06,0.02,0.28,0.03,0.07
7204,direct,0.57,0.54,0.57,0.52,0.33,0.67,0.65,0.29,0.70
7205,directli,0.58,0.65,0.68,0.19,0.33,0.88,0.60,0.76,0.56
7209,disclosur,0.46,0.36,0.45,0.84,0.58,0.48,0.44,0.35,0.42
7224,disk,0.19,0.20,0.26,0.07,0.11,0.19,0.28,0.03,0.21
7237,discount,0.20,0.14,0.23,0.19,0.03,0.24,0.07,0.18,0.18
7250,discuss,0.43,0.46,0.55,0.71,0.58,0.74,0.56,0.91,0.53
7256,deliv,0.30,0.29,0.36,0.16,0.14,0.24,0.16,0.03,0.23
7268,currenc,0.16,0.17,0.21,0.12,0.78,0.29,0.12,0.06,0.25
7269,current,0.71,0.60,0.62,0.83,0.56,0.64,0.77,0.35,0.57
7306,damag,0.10,0.08,0.06,0.02,0.03,0.02,0.09,0.18,0.06
7325,daili,0.15,0.10,0.05,0.09,0.17,0.24,0.21,0.09,0.15
7335,custom,0.66,0.72,0.82,0.93,0.78,0.86,0.74,0.85,0.64
7360,credit,0.69,0.92,0.90,0.95,0.58,0.98,0.49,0.71,0.78
7377,creation,0.21,0.19,0.04,0.07,0.19,0.24,0.12,0.03,0.12
7399,creat,0.67,0.63,0.43,0.26,0.83,0.69,0.72,0.44,0.57
7401,criteria,0.18,0.14,0.09,0.48,0.11,0.07,0.26,0.56,0.25
7414,critic,0.12,0.08,0.12,0.02,0.17,0.07,0.14,0.18,0.08
7434,cross,0.05,0.04,0.05,0.03,0.06,0.05,0.05,0.06,0.03
7449,delin,0.03,0.05,0.08,0.02,0.14,0.05,0.05,0.06,0.04
7465,decrypt,0.10,0.40,0.13,0.02,0.17,0.02,0.07,0.32,0.06
7468,dedic,0.15,0.14,0.16,0.03,0.17,0.29,0.09,0.09,0.11
7478,debt,0.06,0.01,0.03,0.05,0.06,0.10,0.33,0.03,0.15
7485,decid,0.15,0.12,0.08,0.16,0.33,0.12,0.19,0.03,0.16
7495,deduct,0.06,0.05,0.13,0.02,0.06,0.14,0.12,0.12,0.13
7496,deem,0.06,0.08,0.03,0.07,0.03,0.10,0.09,0.03,0.09
7510,delay,0.10,0.14,0.01,0.02,0.11,0.17,0.07,0.47,0.10
